directors,popularity,stars,title,writers
"David Lean,Pierre Boulle,Carl Foreman,1 more credit,William Holden,Alec Guinness,Jack Hawkins,See full cast & crew","2,892",,The Bridge on the River Kwai ,
"Elia Kazan,Budd Schulberg,Budd Schulberg,1 more credit,Marlon Brando,Karl Malden,Lee J. Cobb,See full cast & crew","3,165",,On the Waterfront ,
"Sriram Raghavan,Arijit Biswas,Yogesh Chandekar,4 more credits,Ayushmann Khurrana,Tabu,Radhika Apte,See full cast & crew",,,Andhadhun ,
"Stanley Kramer,Abby Mann,Abby Mann,Spencer Tracy,Burt Lancaster,Richard Widmark,See full cast & crew","4,972",,Judgment at Nuremberg ,
"Juan José Campanella,Eduardo Sacheri,Juan José Campanella,1 more credit,Ricardo Darín,Soledad Villamil,Pablo Rago,See full cast & crew","1,835",,The Secret in Their Eyes ,
"Carol Reed,Graham Greene,Graham Greene,Orson Welles,Joseph Cotten,Alida Valli,See full cast & crew","3,162",,The Third Man ,
"Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,See full cast & crew","2,602",,My Neighbor Totoro ,
"Akira Kurosawa,Akira Kurosawa,Hideo Oguni,2 more credits,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,See full cast & crew","3,521",,Ran ,
"Roman Polanski,Robert Towne,Jack Nicholson,Faye Dunaway,John Huston,See full cast & crew","1,609",,Chinatown ,
"Guillermo del Toro,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,See full cast & crew",384,,Pan's Labyrinth ,
"John Sturges,Paul Brickhill,James Clavell,1 more credit,Steve McQueen,James Garner,Richard Attenborough,See full cast & crew","2,073",,The Great Escape ,
"Majid Majidi,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,See full cast & crew",,,Children of Heaven ,
"Peter Farrelly,Nick Vallelonga,Brian Hayes Currie,1 more credit,Viggo Mortensen,Mahershala Ali,Linda Cardellini,See full cast & crew",3,,Green Book ,
"John Huston,John Huston,B. Traven,Humphrey Bogart,Walter Huston,Tim Holt,See full cast & crew","4,455",,The Treasure of the Sierra Madre ,
"Denis Villeneuve,Denis Villeneuve,Wajdi Mouawad,2 more credits,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,See full cast & crew","1,351",,Incendies ,
"John McTiernan,Roderick Thorp,Jeb Stuart,1 more credit,Bruce Willis,Alan Rickman,Bonnie Bedelia,See full cast & crew",474,,Die Hard ,
"Martin Scorsese,Jake LaMotta,Joseph Carter,3 more credits,Robert De Niro,Cathy Moriarty,Joe Pesci,See full cast & crew","1,533",,Raging Bull ,
"Oliver Hirschbiegel,Bernd Eichinger,Joachim Fest,2 more credits,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,See full cast & crew",846,,Downfall ,
"Billy Wilder,Billy Wilder,I.A.L. Diamond,2 more credits,Marilyn Monroe,Tony Curtis,Jack Lemmon,See full cast & crew","1,670",,Some Like It Hot ,
"Clint Eastwood,David Webb Peoples,Clint Eastwood,Gene Hackman,Morgan Freeman,See full cast & crew",920,,Unforgiven ,
"Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,See full cast & crew","3,259",,All About Eve ,
"Akira Kurosawa,Ryûnosuke Akutagawa,Akira Kurosawa,1 more credit,Toshirô Mifune,Machiko Kyô,Masayuki Mori,See full cast & crew",,,Rashomon ,
"Christopher Nolan,Bob Kane,David S. Goyer,2 more credits,Christian Bale,Michael Caine,Ken Watanabe,See full cast & crew",478,,Batman Begins ,
"Pete Docter,Bob Peterson,Pete Docter,Bob Peterson,3 more credits,Edward Asner,Jordan Nagai,John Ratzenberger,See full cast & crew",996,,Up ,
